funnel_search_id,created_at,tasker_id,position,hourly_rate,num_completed_tasks,hired,category
0-0-57748f5c-88de-4014-8515-55cb44a05a71,9/7/17 17:22,1010630139,12,70,123,0,Moving Help
0-0-57748f5c-88de-4014-8515-55cb44a05a71,9/7/17 17:22,1007387389,13,70,243,0,Moving Help
0-0-57748f5c-88de-4014-8515-55cb44a05a71,9/7/17 17:22,1012334642,14,70,11,0,Moving Help
0-0-57748f5c-88de-4014-8515-55cb44a05a71,9/7/17 17:22,1007869934,15,75,719,0,Moving Help
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1014315490,1,55,246,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1013794735,2,55,128,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1013611363,3,35,0,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1014508755,4,49,116,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1009927090,5,37,474,1,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1014629676,6,46,31,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1007737526,7,50,71,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1011898080,8,39,30,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1008269079,9,55,476,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1008762938,10,60,593,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1011998806,11,40,6,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1009912107,12,60,819,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1014675294,13,38,59,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1013157342,14,50,45,0,Mounting
0-0-a7bdb310-7a2e-41eb-a8f6-0e79575aa653,9/7/17 17:22,1007303362,15,60,185,0,Mounting
